City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Alugan,PH,81.70,overcast clouds,12.22,125.48,JM Lodge
527,Ambon,ID,86.14,few clouds,-3.70,128.18,Swiss-Belhotel Ambon
531,Ugoofaaru,MV,81.05,overcast clouds,5.67,73.00,Ungoofaaru Inn
533,Hervey Bay,AU,75.31,broken clouds,-25.30,152.85,Shelly Bay Resort
537,Auki,SB,81.18,moderate rain,-8.77,160.70,Auki Motel
545,Porto Nacional,BR,75.20,scattered clouds,-10.71,-48.42,Vila Real Hotel
546,Balikpapan,ID,81.59,light rain,-1.27,116.83,ibis Balikpapan
555,Grand Gaube,MU,84.60,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
556,Manado,ID,83.17,thunderstorm,1.49,124.85,Aryaduta Hotel
566,Mariakani,KE,82.49,scattered clouds,-3.86,39.47,The County Luxury Comfort Hotels Ltd
571,Labuan,MY,86.16,overcast clouds,5.28,115.24,Tiara Labuan Hotel
576,Cap Malheureux,MU,84.69,clear sky,-19.98,57.61,Pereybere Hotel & Spa
577,Bajil,YE,85.53,clear sky,15.06,43.29,فندق حضرموت
580,Morant Bay,JM,75.78,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
582,Harper,LR,78.82,light rain,4.38,-7.72,Screensaver
584,Bathsheba,BB,79.41,few clouds,13.22,-59.52,Atlantis Hotel
585,Lindi,TZ,89.73,broken clouds,-10.00,39.72,Lindi paradise house
591,Nizamabad,IN,79.52,few clouds,18.67,78.12,Hostel Luxury A/C
603,Gigmoto,PH,80.65,overcast clouds,13.78,124.39,Cj's Travellers Inn
604,Praia,CV,75.74,scattered clouds,14.92,-23.51,LT Aparthotel
607,Olinda,BR,80.33,broken clouds,-8.01,-34.86,Hotel Albergue de Olinda
609,Nisia Floresta,BR,76.01,overcast clouds,-6.09,-35.21,Rancho Crepusculo
613,Nagod,IN,78.73,broken clouds,24.57,80.60,Chipahti Masjid
614,Lamu,KE,88.02,few clouds,-2.27,40.90,Lamu House
620,Buala,SB,83.19,light rain,-8.14,159.59,Maringe Lagoon Lodge
621,Beni Suef,EG,76.98,clear sky,29.07,31.10,Jewel Inn Beni Suef
622,Daru,PG,85.24,scattered clouds,-9.08,143.21,Daru Lodge
623,Abu Dhabi,AE,82.51,scattered clouds,24.47,54.37,Ramee Garden Hotel Apartments
625,Tura,IN,76.80,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
632,Pitimbu,BR,77.59,overcast clouds,-7.47,-34.81,Reserva do Abiaí
637,Kanniyakumari,IN,82.81,overcast clouds,8.08,77.57,Sparsa
651,Kavaratti,IN,82.36,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
652,Bandarbeyla,SO,82.69,overcast clouds,9.49,50.81,JABIR HOTEL
664,Pemangkat,ID,82.26,light rain,1.17,108.97,Ramah Kost KITA
670,Honiara,SB,81.95,overcast clouds,-9.43,159.95,Heritage Park Hotel
671,Barao De Melgaco,BR,79.32,broken clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
672,Lashio,MM,77.61,clear sky,22.93,97.75,Hotel CF Lashio - Burmese Only
673,Boueni,YT,84.18,moderate rain,-12.90,45.08,The feet in water
677,Vao,NC,75.31,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
