City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,14.97,clear sky
70,Upernavik,GL,72.7868,-56.1549,-3.41,81,13,9.69,few clouds
71,Avera,US,33.194,-82.5271,42.46,48,95,6.78,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,77.45,46,5,12.62,clear sky
73,Camacupa,AO,-12.0167,17.4833,62.58,95,100,3.44,light rain
74,Batamshinskiy,KZ,50.5594,58.2747,10.38,76,100,10.47,overcast clouds
75,Pevek,RU,69.7008,170.3133,-7.04,83,97,3.38,overcast clouds
76,Maymyo,MM,22.0333,96.4667,72.59,61,1,3.44,clear sky
77,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,2.3,clear sky
78,Hithadhoo,MV,-0.6,73.0833,82.15,72,78,18.07,broken clouds
79,Qaanaaq,GL,77.484,-69.3632,-5.21,94,87,3.89,overcast clouds
80,Tazovskiy,RU,67.4667,78.7,-1.26,97,99,5.82,overcast clouds
81,Khatanga,RU,71.9667,102.5,-9.33,96,100,11.83,overcast clouds
82,Aripuana,BR,-9.1667,-60.6333,72.55,99,100,2.8,light rain
83,Asau,RO,46.4333,26.4,34.72,76,98,3.94,overcast clouds
84,Ziyang,CN,29.2497,117.8547,66.88,58,0,5.7,clear sky
85,Chuy,UY,-33.6971,-53.4616,67.15,89,100,4.79,overcast clouds
86,Zaysan,KZ,47.4667,84.8667,18.68,71,3,2.98,clear sky
87,Esperance,AU,-33.8667,121.9,94.84,38,6,13.24,clear sky
88,Rawson,AR,-43.3002,-65.1023,55.65,74,0,6.73,clear sky
89,Saquarema,BR,-22.92,-42.5103,69.71,90,6,5.48,clear sky
90,Severo-Kurilsk,RU,50.6789,156.125,30.54,68,92,28.5,overcast clouds
91,Hermanus,ZA,-34.4187,19.2345,65.21,85,95,13.58,overcast clouds
92,Banda Aceh,ID,5.5577,95.3222,79.97,80,100,4.61,light rain
93,Nanortalik,GL,60.1432,-45.2371,40.82,98,100,12.93,overcast clouds
94,Te Anau,NZ,-45.4167,167.7167,60.15,70,1,1.19,clear sky
95,Hobyo,SO,5.3505,48.5268,83.34,71,48,12.93,scattered clouds
96,Avarua,CK,-21.2078,-159.775,75.25,78,75,3.44,broken clouds
97,Fortuna,US,40.5982,-124.1573,48.54,94,74,3.04,broken clouds
98,Lorengau,PG,-2.0226,147.2712,84.81,68,100,4.56,overcast clouds
99,Salamiyah,SY,35.0113,37.0532,63.86,39,100,1.16,overcast clouds
100,Caraballeda,VE,10.6112,-66.8522,77.07,78,40,0.0,scattered clouds
101,Kununurra,AU,-15.7667,128.7333,102.18,19,69,8.05,broken clouds
102,Sanandaj,IR,35.3144,46.9923,46.42,57,0,0.0,clear sky
103,Astana,KZ,51.1801,71.446,13.95,67,0,8.95,clear sky
104,Lompoc,US,34.6391,-120.4579,52.11,66,1,8.05,clear sky
105,Castro,BR,-24.7911,-50.0119,59.41,89,0,2.37,clear sky
106,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,20.71,light snow
107,Ayan,RU,56.45,138.1667,15.6,60,100,19.17,overcast clouds
108,Guymon,US,36.6828,-101.4816,37.35,58,5,2.46,clear sky
109,Lebu,CL,-37.6167,-73.65,48.61,81,3,14.23,clear sky
